Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Côte d'Ivoire,274.0382142,279.2719075,313.0717067,405.9609185,468.8153205,568.1441635,652.6775761,844.8513068,1026.053317,1143.248308,1225.407556,978.0752297,845.6459526,736.7425732,711.0615009,700.280823,888.376643,945.9958199,928.494559,934.7036605,998.51344,932.2369374,937.2618816,837.5058865,602.3677037,776.5821902,819.6064389,764.3819365,797.0795939,768.4700535,635.8181863,649.01477,698.2047479,844.9005136,892.6720874,900.6185507,917.8526942,1026.449632,1196.619651,1174.087135,1243.559219,1326.107636,1430.841059,1726.974774,2011.384042,1940.086598,1999.215512,2113.365991,2295.533061,2290.775695,2349.069882,2613.378893,2486.412194
Cuba,641.8456152,766.0977626,887.2065582,1074.174183,1211.695884,1369.228654,1436.268382,1468.691728,1833.96886,2003.558813,2030.0167,2045.985656,2114.595361,2223.971892,2388.257138,2258.46069,2366.864418,2441.51561,2633.815809,2567.150777,2695.582538,2269.742274,2048.044275,2063.19738,2612.973709,2784.750709,2281.941919,2306.25591,2332.541642,2562.299832,2752.2398,2844.235459,3007.193074,3205.679468,3403.331797,3791.852012,4683.814316,5200.034393,5392.250454,5501.992567,5697.575209,6152.147901,6467.337914,6814.243844,7117.52691,7690.166362,8055.889907,8543.360968,8831.907222,9139.415856,9499.590202,11255.22936,13128.02077
Cyprus,961.4074382,1119.211679,1354.86797,1641.169514,1817.791104,1571.452015,1832.373536,2337.269034,3044.989785,3960.617325,4749.805029,4527.08833,4643.148208,4588.544169,4767.119231,5010.995432,6328.449303,7500.903368,8562.655362,9015.380483,10801.63327,10859.48616,12679.34046,11800.86317,13013.30649,15101.54654,14984.08038,14294.43039,15237.52399,15452.74993,14648.15393,15057.00822,16319.89424,20281.20122,23913.18632,25682.00128,27620.30124,31495.36238,35398.71962,32107.32045,31074.66524,32443.33176,28993.63016,27789.77199,27208.1077,23476.83861,24697.21386,26682.01852,29422.19206,29852.69653,28820.44658,33502.20374,32999.39035
Czechoslovakia (Former),1137.979759,1185.369859,1351.520675,1586.738216,1689.75413,1849.2223,1809.421651,2575.652496,2818.486225,3010.255855,3137.100007,3319.769308,3335.691193,3303.523195,2978.818772,2972.931605,3482.539922,3903.113503,3850.691142,3770.503727,3699.61275,7287.37388,7742.112519,7540.813815,8067.811021,9029.512726,9290.879433,9109.859697,9197.489857,9469.703803,9447.329049,9399.74752,9848.35973,11237.47883,12716.77068,13788.6,14918.36509,16896.97515,18344.40532,16333.90045,17111.80054,18816.18373,18584.63756,19115.27941,19389.85533,17510.42636,17654.06502,18470.67708,19556.59735,19378.37954,17893.77998,20454.42038,21213.00964
D.P.R. of Korea,380.0085789,409.0355774,440.4999022,475.4640419,515.0482868,558.8804236,572.7555693,587.7881456,603.4577547,619.4398345,635.7070091,649.7727003,804.4137868,792.0691795,744.0134043,722.6526576,805.1824614,836.2600982,763.8301099,810.7836539,734.8580071,662.6375804,593.0787454,503.2354018,384.4622332,222.2510553,478.7875091,461.7665264,455.5062682,451.7886965,461.9564942,476.1268506,467.9792391,470.9768155,472.9798408,548.4068892,576.0414751,598.5993814,552.8252385,496.5882116,572.9526013,642.0773901,648.2857243,672.0074251,702.2195987,653.8496741,670.5779757,690.2448721,691.8125954,643.1453775,621.3791455,654.1480076,590.4500995
D.R. of the Congo,236.8260382,257.5842082,276.694137,343.3250794,407.587823,423.3982436,388.8331427,485.1831091,667.7746359,632.0135543,585.5201784,503.4747779,488.5614737,403.0604625,235.3947596,244.2921019,274.0257855,226.5780606,251.3745332,406.5870458,417.7249815,381.4481963,339.3855514,428.8708304,221.7572407,206.6862921,207.5176185,210.1437524,214.6875338,185.4839846,171.5332088,166.6061624,168.9444902,167.9831095,187.8569927,211.5739355,247.5412207,277.61272,317.8901143,290.1559074,324.8281096,376.3745917,412.7767444,444.7549366,472.2664,482.0642119,495.3583254,446.618447,541.364522,526.3181751,487.9494757,551.1269155,631.7709216
Denmark,3468.532586,3854.526434,4664.132506,6135.595425,6786.520192,8001.805861,8776.865619,9771.997293,11815.12728,13745.07791,13877.37813,12069.11114,11784.59858,11834.68156,11541.03896,12239.32123,17205.02094,21363.652,22541.9441,21895.43033,26872.37075,26990.46604,29546.07786,27570.45926,29951.9685,35339.25892,35698.82293,32883.48654,33400.9243,33452.82933,30737.39871,30740.31759,33211.54606,40415.59837,46416.91982,48648.20982,51830.89545,58291.8943,64214.95388,58128.30748,58008.29376,61693.35554,58409.45163,61077.48921,62469.52903,53308.19756,54866.6156,57888.20351,61879.77227,59783.64934,60896.77485,69298.14952,68029.48678
Djibouti,494.2865866,522.9598268,586.9174649,683.2006629,796.734401,811.9904472,881.5979569,860.4175158,857.5446874,871.7321697,929.2380504,936.6784893,940.9368638,918.0502415,892.9729197,886.9513394,905.737712,881.4959821,882.9712243,840.2947957,791.641201,741.8583327,772.7754959,788.8402519,819.4001726,809.4282233,770.1413837,735.4979555,716.2717031,729.9054183,736.3144924,744.0481387,747.6885271,772.8454441,811.2593809,852.8901883,907.5455552,980.0310324,1105.696857,1213.968455,1352.9733,1551.854595,1786.854509,2102.197948,2240.652637,2430.273501,2559.061429,2659.85416,2765.198754,2948.181328,3140.337941,3348.013391,3571.817567
Dominica,334.4883952,370.9065127,396.2042473,452.1344267,565.9964274,592.3990515,574.0905009,635.8858096,788.2340797,756.0812241,997.6116597,1125.807703,1232.698013,1365.269572,1517.398181,1668.984197,1897.956371,2144.819376,2430.606523,2645.759729,2899.060601,3178.475332,3386.665981,3549.652676,3820.545017,3967.026809,4225.850637,4385.994541,4676.827165,4829.241889,4879.149773,4991.764173,4881.138793,5016.088237,5354.799195,5304.126097,5677.051175,6126.849496,6661.465047,7109.978253,7182.400203,7288.497948,7054.875977,7240.679119,7498.917522,7724.042411,8223.04145,7395.991648,7833.195013,8561.587011,7036.805539,7668.158132,8414.536593
Dominican Republic,415.3633883,453.414722,526.4230324,604.9106995,735.4569323,882.0794282,944.6089126,1070.029154,1078.190148,1223.240393,1441.73952,1545.31788,1657.112782,1755.590881,2062.959406,875.3739315,1037.47274,950.1655611,849.4138852,1198.893308,1335.729146,1355.677455,1540.698197,1713.860959,1825.168366,2001.003579,2131.54159,2411.418176,2520.16296,2599.135699,2805.354841,2907.837554,2916.935039,2285.813812,2458.556016,3874.664528,4085.731714,4656.428132,5004.524667,4982.458973,5437.899129,5837.316059,6047.110069,6169.281593,6532.727416,6837.995773,7188.957295,7513.497951,7947.159354,8173.344646,7167.914932,8476.749688,10111.24724
Ecuador,463.5502814,433.4631198,487.3952152,578.8145216,954.4173935,1087.560335,1244.13086,1468.170086,1545.08268,1788.373479,2196.81459,2610.002488,2323.715528,1949.125573,1873.484134,1852.204232,1612.923937,1432.645526,1308.516289,1359.835302,1457.627808,1588.957297,1657.029791,1700.308879,2000.17757,2112.20702,2141.257476,2348.044076,2292.509,1581.967228,1450.80512,1904.81367,2184.209244,2438.343684,2703.565671,3014.310009,3340.840903,3579.032244,4260.433184,4240.702593,4640.246344,5202.656459,5678.455721,6050.354611,6374.631486,6130.586676,6079.088736,6246.404252,6321.349401,6233.258167,5645.19929,5965.132871,6391.282484
Egypt,234.1100878,242.694392,253.9713758,258.3305127,298.8084511,326.9486942,377.671616,471.5831783,563.5827574,366.2823766,459.8782531,300.3539008,341.4626388,399.4547143,443.6849007,475.3443285,481.2300904,517.6305598,549.1524065,587.9813219,629.1227069,668.8146041,763.2888873,824.668487,900.4733704,1024.796713,1128.058325,1217.602878,1273.212227,1314.674499,1340.644618,1245.285308,1163.02404,975.1605597,1021.477373,1194.510926,1336.251334,1607.484164,1966.061436,2198.293576,2459.878927,2590.809064,3030.854338,2899.856265,3148.256029,3251.455264,2708.402039,1917.049576,2407.453633,3004.652156,3457.211063,3898.01973,3687.778269
El Salvador,256.9419092,263.7533863,274.4456842,309.7530429,358.050965,397.2849892,495.2813616,608.9711474,640.073205,702.2347368,715.272545,687.4882177,704.9888041,782.9619428,881.636556,1062.863844,740.9103699,825.8788305,957.1633869,1105.818793,897.5929821,961.7789832,1047.043162,1186.340716,1348.907915,1552.13021,1653.630542,1749.501831,1858.371396,1904.874895,1977.840609,2051.158774,2106.739464,2197.481996,2273.955506,2434.323766,2651.430288,2814.59003,2964.171521,2889.685232,3017.307793,3304.97478,3471.051758,3555.162431,3638.518044,3761.513349,3870.312982,3986.049014,4145.862946,4280.287889,3961.727432,4664.312503,5127.32093
Equatorial Guinea,66.16818819,69.80928435,68.21752213,88.90743415,96.96139351,123.1308325,131.2753213,147.9134792,167.8159077,187.6418511,197.0022589,176.3950665,196.8718812,208.5151424,196.9449276,233.3382883,281.7825414,328.6979475,346.5194334,307.8057317,364.5874759,354.9488819,403.8476175,383.9896205,305.7794019,384.006687,583.9573208,1079.360217,870.2760038,1400.081482,2205.649558,3069.364274,3602.422659,4682.796809,6801.894669,9852.458555,11140.19841,13776.90203,19849.72647,14398.7728,14890.98024,18634.96323,18757.47984,17639.54528,16782.6476,9781.577398,8035.311959,8410.394419,8719.188068,7317.390024,6327.598962,7506.667861,7025.689752
Eswatini,349.366741,422.5574492,451.8186281,570.3482598,685.9175165,777.4532547,770.8781188,830.4778404,900.4742335,1033.094393,1346.982421,1446.640305,1304.397878,1340.902489,1061.149826,766.9629134,930.742271,1184.138516,1320.380367,1312.661733,1468.836638,1495.560181,1593.931157,1565.36253,1667.732001,1994.238753,1842.34544,1945.121511,1765.064442,1699.311548,1686.657453,1481.149178,1362.970615,2075.561624,2599.114925,2964.972336,3053.932498,3200.512573,3022.456056,3270.1377,4035.5345,4360.959894,4396.579316,4111.128355,3928.522908,3579.763941,3339.987372,3822.79341,4020.026769,3843.380255,3372.904638,3978.394074,3600.636491
Ethiopia (Former),86.51079374,89.10985239,94.71462943,106.6547714,116.9031529,113.5731014,120.4005706,134.2752692,140.495709,152.1200958,160.8792859,164.3965712,163.015062,173.6021787,199.9920343,227.9133682,231.3597281,239.4638323,224.1153093,222.0036882,230.6735861,253.3859238,197.7811249,141.4273098,8067.811021,9029.512726,9290.879433,9109.859697,9197.489857,9469.703803,9447.329049,9399.74752,9848.35973,11237.47883,12716.77068,13788.6,14918.36509,16896.97515,18344.40532,16333.90045,17111.80054,18816.18373,18584.63756,19115.27941,19389.85533,17510.42636,17654.06502,18470.67708,19556.59735,19378.37954,17893.77998,20454.42038,21213.00964
Fiji,418.5090455,459.5381503,578.1573649,764.8920709,987.9142923,1189.387519,1186.780609,1202.268785,1352.339727,1621.649614,1865.786191,1870.444634,1763.830451,1619.289682,1657.794465,1568.756982,1737.365533,1560.654457,1452.188422,1530.565595,1713.213124,1763.299514,1947.50843,2073.123777,2308.727312,2487.002881,2672.470661,2597.899123,2031.025973,2351.727362,2015.833795,1964.097247,2157.257894,2680.489238,3124.690884,3406.644156,3483.618623,3793.121777,3928.901166,3184.67557,3469.512556,4155.360708,4359.790127,4587.176974,5305.03238,5105.148732,5368.467353,5825.224293,6073.395193,5927.709029,4815.689316,4656.050592,5356.164428
Finland,2453.401732,2702.771703,3162.060228,4152.733274,5271.548788,6224.78981,6708.468065,7041.70138,7612.043041,9308.353196,11225.01777,10927.4506,10937.80108,10497.36404,10833.88719,11398.05503,14950.42994,18571.33858,22047.37203,23971.71778,28365.4355,25482.34372,22318.85207,17607.55781,20299.97336,26270.07558,25783.4001,24690.31649,26008.8246,26176.50114,24285.44817,24945.99481,26870.90748,32854.02325,37704.70745,39039.50392,41186.1168,48412.64397,53556.51666,47291.64013,46460.67493,51083.00259,47711.77724,49878.96031,50260.96246,42785.24494,43784.95325,46412.76001,49988.2062,48630.46593,49170.38626,53608.59388,50988.07978
Former Netherlands Antilles,1431.380253,1537.789658,1733.666759,1933.317465,2418.485638,2852.197426,3171.688487,3558.891426,4305.550963,5066.067301,5579.434916,6385.211624,6775.694638,6686.389547,6699.6367,6772.165662,8714.003402,9032.732175,9285.532536,10335.59583,10804.06912,11234.47251,11721.07858,12525.8036,13560.72082,14113.51607,14925.82993,15572.61093,15933.14208,16028.60556,16616.04232,16950.31389,17062.54016,17355.79339,17607.24576,17076.76946,17717.96929,18454.90042,19710.66182,19634.88346,19984.45374,19847.03158,20135.77212,19115.27941,19389.85533,17510.42636,17654.06502,18470.67708,19556.59735,19378.37954,17893.77998,20454.42038,21213.00964
France,2870.053081,3180.490944,3865.745164,4984.035993,5345.738481,6717.739334,6899.125299,7566.775359,9299.508673,11213.34104,12738.8215,11116.85167,10501.50237,9999.333018,9430.301768,9778.16582,13566.97084,16340.252,17726.9271,17746.73628,21864.84875,21765.85582,23927.89543,22500.49973,23624.31002,27029.10085,27000.75326,24326.97521,25053.24133,24754.1132,22467.8251,22565.58579,24349.12272,29808.62494,34055.41619,35117.06293,36824.70265,41912.16319,45735.72768,41899.18749,40926.15478,44078.84731,41146.33717,42913.61834,43359.42563,36930.54761,37320.87795,39088.18175,41937.93392,40915.37683,39631.74105,44251.46535,41425.98172
French Polynesia,2229.337427,2515.224739,2670.626144,3408.867832,4244.884502,5107.448873,5603.994421,5841.035182,7158.421035,8621.277377,9524.858809,8628.968809,8401.555315,8495.671801,8573.476182,9148.785359,13635.08368,14709.32816,14557.19778,14343.61298,16903.11178,17099.76221,18175.20043,16967.73764,17235.99954,19099.92972,18114.63324,17042.12001,17472.84247,17018.53587,14972.61927,14479.62168,15170.83276,18704.81488,20787.82105,21038.8222,21363.24188,23806.33015,25335.12294,23232.57946,21426.95244,21719.52926,19865.67195,20935.56533,21194.84651,18245.17518,18713.92719,19743.95899,20614.89439,20093.20862,19185.69774,20230.24114,18984.85106
Gabon,686.326978,792.4304031,875.6979841,1440.379795,3013.380101,4119.351878,5615.408189,5119.208661,4249.157494,5255.342055,7237.375641,6361.636517,5802.667353,5295.99588,5410.855408,5416.456515,4989.142361,4751.809834,4631.579037,4847.673926,6143.76354,5953.916981,5999.81022,5647.649564,4265.174638,4919.21078,5507.944176,5044.567551,4144.834181,4160.675324,4459.602017,3965.753871,4027.226607,4757.183129,5535.305097,6568.349921,6867.348276,8026.30397,9692.993503,7296.550879,8391.437702,10260.37498,9349.061096,9247.418332,9243.014158,7085.121978,6722.169009,6975.769483,7694.908751,7523.862278,6680.1158,8635.356742,8427.098986
Gambia,302.8448446,308.497836,390.0011293,645.0899786,819.7759741,954.051148,850.8065446,871.1682813,1003.250771,1064.838834,1165.592283,1194.338586,1159.22174,1106.750483,1044.915608,1270.445376,831.0603957,894.2882874,1078.566911,1077.59251,1130.144821,1058.79895,1053.13088,1074.050669,1028.805974,1051.619623,1102.138367,1014.106387,1029.718522,969.5761075,905.1203751,772.1958377,631.304244,516.7894465,596.6292805,618.9598057,615.9739275,725.092276,857.8582394,772.1249272,796.6318386,705.4774933,686.5575605,647.385582,561.6498659,611.6716187,633.1995967,632.0198689,683.3308125,722.8756336,704.0303892,776.1273033,824.66715
Germany,2756.706496,3184.05744,3812.094297,5064.1041,5663.978025,6248.936264,6632.378587,7676.830135,9484.563431,11311.05526,12217.17276,10303.9674,10006.11073,9936.146642,9347.957328,9434.999436,13447.9464,16624.06016,17854.34904,17728.1208,22321.31185,23419.50144,26577.89968,25706.3646,27262.10525,31872.72372,30716.93481,27162.01228,27463.9481,26903.1636,23827.14818,23849.60178,25400.67754,30683.83891,34569.03009,35040.70942,36857.89479,42139.59272,45928.11686,41810.9854,41762.6845,45986.89829,43256.12244,45699.27079,47446.56615,40893.18609,42116.33755,44670.22228,47944.53274,46774.07748,46655.15873,51295.74521,48901.65883
Ghana,530.1026269,562.9919046,478.4626627,434.3149492,491.4672698,456.8368819,451.727586,476.3600492,536.3493541,548.9196867,583.5477231,598.892473,574.382362,552.116885,604.8103154,640.7948743,672.0107905,704.5472403,751.5002363,740.0789723,855.4103764,937.6976532,899.5309997,760.8090766,677.9797479,786.4000199,824.1986559,800.2058723,848.0530581,853.7360416,537.4786744,558.2452821,630.1060134,759.0789583,860.0011538,1011.907503,1169.602908,1382.227249,1552.289562,1378.1385,1665.215512,1998.399536,2066.840236,2314.294978,1940.777761,1733.019906,1900.405959,1998.626937,2179.320751,2168.417226,2176.576218,2422.085913,2203.558935
Greece,1537.030515,1700.648415,1958.699128,2577.463344,2902.644853,3240.922212,3505.125748,4026.717268,4871.594299,5925.870275,6107.634084,5557.300177,5730.489418,5128.575318,4930.147809,4859.31172,5673.816919,6545.452035,7535.2239,7751.843887,9502.08797,10118.1922,11091.34044,10300.83528,10951.68788,12759.79588,13500.62493,13162.86955,13202.62805,13567.05336,11933.13173,12300.20742,13863.4995,18173.48937,21640.10301,22295.2264,24608.45017,28714.04151,32010.6557,29847.63179,26902.40944,25682.20606,22076.90745,21882.78744,21646.47217,18100.43113,17955.50468,18690.62448,19942.0723,19411.03699,17929.62116,20551.48934,20923.09636
Greenland,1672.053967,2082.362371,2454.016388,3193.023235,3820.013845,4695.346511,5308.006375,6201.395253,7821.739516,9237.393884,10382.12992,9388.316899,8564.834157,8748.584399,7875.675353,8477.488213,12264.74387,15860.92166,17926.10598,18373.93104,20027.16643,19957.65939,20366.79256,18187.98065,19734.05189,23680.49433,23384.3605,20894.56326,22388.5203,22038.82375,20772.59581,21049.83916,22586.00962,27477.78424,32049.02526,32517.14185,35435.15898,39673.61509,44170.74474,44824.13913,44420.98965,47691.54363,46436.39024,47869.40648,50793.80689,44710.85223,48414.39733,50987.22425,54634.85812,53589.42527,55025.96218,57532.66116,51820.89796
Grenada,193.4111484,245.483577,329.0661056,406.8396623,422.1535976,521.2577763,524.1206798,589.876911,732.6579528,853.2115189,929.387431,993.0004037,1082.110613,1124.001484,1204.106041,1350.122086,1515.412533,1761.437099,1960.281283,2160.957545,2383.768196,2480.940231,2496.101918,2465.650891,2562.310168,2673.809957,2845.631187,3043.409991,3323.485293,3556.478949,4840.684754,4821.787397,4992.442434,5435.152828,5470.602638,6306.985419,6295.275165,6790.648335,7343.460746,6810.45994,6760.961107,6775.752385,6900.771732,7205.268247,7726.379929,8379.633119,8849.514156,9309.267842,9574.310271,9887.920742,8437.536782,9010.670753,9509.250006
Guatemala,306.3214216,311.045002,320.9610823,382.3719753,458.5976536,515.7818052,603.8104614,741.1882564,801.0242096,888.6945904,989.2754259,1053.908699,1042.978205,1056.934111,1076.382964,1236.54936,909.5014919,742.6314976,800.0741604,834.7379648,738.7887096,884.5297638,956.494862,1017.262672,1128.345098,1240.771582,1302.335968,1430.812457,1521.415768,1401.892772,1441.963771,1532.659775,1663.715837,1715.901612,1835.057656,2039.119725,2218.197257,2451.097585,2755.129708,2604.243892,2797.34496,3161.664121,3277.879692,3436.27111,3681.628337,3886.36016,4054.593728,4322.031108,4351.786588,4511.32872,4475.980262,4887.024042,5324.132661
Guinea,181.290462,197.165756,206.8828936,218.0003975,246.1140911,272.369922,305.419148,308.7711268,347.4742941,365.6488106,401.8589238,434.2845661,460.0376589,474.0450454,486.9779025,515.14047,528.5299958,545.1127659,584.242226,580.4976681,614.6870922,623.732876,650.7085691,627.6700688,638.0815085,704.3264522,716.4150985,685.2859442,613.8371357,581.2203836,512.1092886,482.5116578,475.59445,543.2761825,561.1073739,444.5367959,452.2761614,657.9934619,712.0994216,670.2612535,667.2816034,644.5025556,707.9676734,757.6922754,774.5690388,756.4255917,721.1335165,843.4642781,944.4172685,1043.903512,1066.908785,1166.740248,1504.133807
Guinea-Bissau,474.7148046,468.5287464,547.1269523,666.0667958,708.012797,769.7212409,651.989173,526.2695249,571.3325472,604.4332598,563.9732117,604.6191333,487.1609456,481.3142165,517.9039662,461.3996639,504.8141368,538.0717107,501.1239926,593.2322788,625.7458405,652.7023515,668.6963093,677.6960448,691.1852044,715.880253,469.7701412,354.796177,317.2899617,336.4049431,294.65891,302.2942328,317.5415089,362.0939335,394.2878977,425.3026736,418.5299672,479.8039902,580.9170066,541.3829193,541.7555229,682.6394187,598.6063346,615.9849492,604.317749,585.5137651,642.6659973,718.2457378,741.5619907,692.9000542,692.7982098,768.6661479,747.7626967
Guyana,605.5355901,633.6284401,634.1768891,668.9085659,926.8703968,1078.690933,942.9306898,923.7940499,1031.372517,1070.707845,1211.887479,1161.372715,985.8990592,993.6501526,911.7700011,953.3390774,1078.226374,718.5214472,869.8363143,805.6268781,845.7809466,746.8830249,800.2729143,995.7065405,1160.191301,1318.874924,1493.02433,1581.878039,1512.15723,1461.641084,1497.264523,1621.796099,1792.997339,1990.201879,2289.899585,2603.959879,3138.082204,3609.90556,4011.388854,4213.814515,4589.872865,4960.005299,5461.390076,5576.250215,5495.377084,5668.429765,5905.380196,6220.978568,6094.909837,6477.296726,6863.074346,9994.645704,18199.47484
Haiti,93.83739147,100.9442287,101.6546795,125.2991951,149.0520541,176.3406122,223.2185912,235.9026621,237.9916501,258.8466188,325.0029137,326.0573922,332.6265954,359.0031647,393.5717084,426.6809668,465.4815303,399.1407411,410.4193933,439.0481595,507.7867227,502.385928,362.2788257,317.1882589,382.0130773,496.2359188,560.1146642,626.1997671,743.3764664,828.7400037,760.9307444,732.5087281,665.1545474,554.0053769,704.0734469,765.9869424,820.1207703,1003.31319,1056.345231,1165.767603,1220.369108,1299.340932,1344.160912,1446.416514,1435.598772,1344.636363,1249.840705,1405.447377,1428.422636,1260.286967,1463.522688,1663.561694,1618.582427
Honduras,296.2367029,304.1230076,324.0719989,357.3028826,393.4733119,414.9349562,482.2294773,578.7910822,648.3460813,733.3339852,810.2729222,863.4119559,862.5847575,887.1461215,929.0466867,989.5573492,1006.183175,1066.328146,1154.882115,1254.490633,719.7942093,704.3900773,763.2482693,760.8991698,724.3628307,812.7646564,814.5052278,915.6531618,995.1647338,999.0289051,1079.710071,1119.173032,1119.673276,1143.285751,1201.478718,1289.820329,1409.582457,1559.886712,1713.417481,1762.345963,1874.271704,2053.960957,2107.342565,2064.553809,2164.427126,2257.224303,2295.536694,2403.306094,2457.68644,2519.367423,2354.12148,2771.722616,3040.17308
Hungary,619.3581812,672.1134837,785.9394502,970.1039003,1058.447022,1199.784713,1382.665129,1537.006757,1790.642919,2062.082622,2381.896104,2446.739203,2497.589354,2274.062425,2213.140891,2249.212633,2599.940986,2867.453376,3080.900686,3134.331131,3584.497265,3349.806162,3734.842515,3874.068716,4172.206374,4496.751048,4526.344277,4598.089616,4746.803579,4796.886146,4628.323555,5280.974425,6661.423136,8428.99317,10314.61443,11238.48487,11505.90571,13961.18812,15795.42335,13095.69293,13234.97207,14260.90331,12982.52676,13712.91218,14292.18263,12715.46515,13103.25624,14619.78329,16423.87103,16785.08847,16124.90819,18753.24974,17791.90898
Iceland,2575.975436,3250.947695,4013.790224,5416.955022,7038.081996,6451.693722,7580.107137,9953.305406,11231.47578,12634.03654,14813.56889,15128.96228,13703.78816,11664.24469,11951.241,12352.39584,16394.13191,22437.40949,24434.66485,22417.5047,25365.71417,26782.81551,27102.97543,23561.30806,24000.32403,26612.41212,27592.20126,27895.73072,31003.11393,32353.05201,32067.08715,28870.08927,32378.2599,39438.56524,47288.48616,56738.4733,57438.4798,69431.76945,56889.41209,41262.28418,43197.41251,47672.89895,45957.86059,49765.019,54533.7689,52912.49477,61944.34507,71961.53204,74404.72645,68412.20168,58815.35622,69115.639,75260.40523
India,111.9683181,117.3659314,124.8102943,145.6974803,160.6928946,163.1618637,160.7395776,182.6638998,206.4097833,223.2104022,268.4058504,279.9164717,280.3068367,298.8229557,290.92625,294.8350538,316.4067821,342.2566634,370.0420824,356.8184176,378.124664,327.580925,323.6022312,310.1132548,346.491778,385.5550832,400.3401249,424.553612,420.5362238,443.8165548,449.3515506,454.74702,466.8747433,536.479611,618.8074228,713.3067415,800.9957464,995.8246997,1050.330292,1074.850493,1345.8016,1488.459342,1460.098786,1484.785136,1562.780452,1622.808195,1711.137592,1937.924539,2018.400292,2064.051291,1916.459344,2255.866685,2445.390241
Indonesia,90.16643659,92.18295087,105.3846633,151.928541,234.8271747,270.3712556,322.6427327,386.9768592,424.266739,413.7443154,569.7584937,706.5526829,708.8467377,626.3039002,628.7595127,613.7343033,551.4745973,513.0499353,588.744793,660.4981314,731.7903225,805.5174997,859.5021575,960.0389528,1057.200113,1188.463836,1315.40124,1228.329253,534.967789,776.1994655,820.760692,786.8369448,946.4367061,1120.531996,1210.333174,1330.266648,1674.599412,1959.447768,2283.188055,2384.023732,3094.443079,3613.800888,3668.212084,3602.885517,3476.624854,3322.581679,3558.818852,3839.785075,3902.661675,4151.227555,3895.618152,4334.215983,4787.999308
Iran (Islamic Republic of),385.8122656,469.0835121,569.663679,874.0514153,1448.340171,1587.628874,2019.397618,2309.107493,2166.256873,2428.851507,2482.237801,2536.0382,2992.736727,3586.23044,3629.3867,1613.350353,1504.534902,1733.874874,1772.507038,1697.222779,1727.143949,1812.548249,1847.588111,1995.460342,1906.698841,1881.154732,2038.081704,1871.157123,1781.757168,1830.903507,1702.890139,1822.593898,2228.672729,2283.224876,2751.792824,3261.471846,3817.339316,4996.501656,5870.903751,5911.794202,6949.406477,8508.533691,8386.563279,7360.991721,5907.765574,5100.940322,5594.817006,5960.707147,3703.460515,3610.154994,3748.200019,4075.486344,4495.146987
Iraq,335.1830697,363.8734911,353.1714233,428.1655578,487.6547345,589.7398432,726.7540692,760.7289052,931.2038864,1210.694543,1284.734386,1119.541347,1143.355058,1057.791501,1064.108261,1071.322196,1152.958959,1372.192573,1430.40526,1319.270227,1352.158544,468.6156883,537.2727278,365.6364369,278.6887257,232.14358,394.1480548,417.5113159,515.8285041,871.08054,959.9762509,972.761372,928.9569113,855.0514811,1315.133552,1740.66833,2241.966172,3099.696432,4231.530589,4246.942781,4430.426242,5736.898959,6437.459098,6612.902252,6215.986033,4416.942923,4305.202702,4725.193371,5601.467061,5621.181695,4251.337243,4770.83534,5937.195471
Ireland,1496.558098,1717.059346,2096.276189,2443.353085,2538.922015,3003.319568,2948.906344,3456.045125,4431.478318,5465.47148,6412.548002,6035.505399,6222.319675,5979.272666,5759.674427,6067.230292,8167.785689,9653.473622,10797.79305,11265.23573,14147.01391,14205.76711,15849.3067,14782.89074,16041.70956,19316.14005,21013.13255,22762.58428,24519.58469,26575.2773,26521.63845,28532.40168,32866.71779,41503.76238,48121.62764,51390.83312,54778.03953,61865.32133,61615.6606,52334.7033,48998.36338,52559.71069,49321.75055,51874.81264,56107.12028,62636.45651,63267.60071,70673.12044,79986.09973,81481.09924,86655.55516,102955.8011,105993.2728
Israel,2070.677797,2110.01583,2681.132243,3348.191567,4428.617984,4277.697797,4403.20389,4679.657237,4534.511406,5738.688333,6399.577829,6660.001416,7135.056783,7783.93336,7126.602111,6552.656385,7909.52334,9250.98924,11006.55392,10654.661,12241.88014,13618.97689,14831.90076,14524.16967,16092.46183,19221.06399,20466.5332,20763.08092,20505.78765,20214.31456,22270.6235,21581.10022,19672.91389,20277.26649,21209.81428,21909.54544,23231.96471,26477.16531,31175.39322,29508.39236,32600.73647,35846.52796,34630.62614,38520.51712,39941.23126,37803.75659,39338.14876,42991.61956,44362.50833,46428.47444,47014.6906,55023.23007,58086.35749
