Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bahamas,4259.305052,4286.281941,4493.308784,5024.039305,5962.291182,5454.223469,5885.411989,6117.865558,6984.355483,8315.441574,9785.606579,9950.924552,11001.03806,12015.9749,12589.3471,13443.94812,14250.77171,15394.72838,15709.08706,17371.77637,17613.2677,16972.51138,16605.79133,16158.59383,16692.52747,17240.993,19225.58057,20415.83514,21665.32445,23991.79447,24849.69878,25234.05314,26590.25994,26204.91004,26393.4431,28280.87084,28829.99115,29687.75338,29013.63029,27120.79922,27046.76483,26644.79428,28059.51303,27404.16225,28554.85773,29821.35497,30124.37615,31303.53097,32400.95669,33564.69573,23998.16824,28260.36705,31458.35429
Bahrain,1896.176458,1969.702274,2367.250664,3196.301037,4150.198216,4154.484554,5681.200623,6798.708509,7399.496637,8421.893655,10381.58243,11259.02935,11425.40331,11307.67822,11416.37294,10302.21068,8308.446576,8145.480733,8634.210304,8950.316344,9487.745468,9707.530751,9797.122094,10364.16642,10804.9958,11072.91913,11156.02723,11208.92465,10406.00674,10955.18813,12738.78537,12291.84761,12819.99389,14230.30743,15777.9724,17705.23894,19057.79681,20883.55998,23155.79457,19448.18517,21186.81433,23741.55746,25102.6395,25790.85679,25464.80067,22795.37076,22867.27545,24349.83685,25415.75007,25869.20618,23433.49149,26860.07455,30146.50953
Bangladesh,91.73236648,81.57551807,89.5733595,95.15668931,110.8588406,113.4497443,123.6883002,127.3332752,159.3719239,180.1801804,199.3242062,196.9455108,174.3887113,173.1061359,197.5105987,199.762683,205.7540315,228.6231334,241.6502524,256.9702331,262.5962504,275.2283266,275.815271,279.3655134,291.2664896,321.4615562,331.9738275,337.3452463,343.1954865,353.1077874,351.9499584,345.0501723,351.8325377,378.6756287,403.1275548,408.9634395,490.5853844,563.91541,653.3937888,734.8789759,829.4635601,899.9121285,944.5031242,1130.874771,1282.106878,1449.562923,1651.719965,1785.836613,1931.478758,2110.916696,2230.583106,2449.024978,2527.52127
Barbados,903.0125784,1011.028545,1151.329867,1397.942497,1663.330643,1945.368774,2100.62161,2376.961899,2645.941976,3191.358438,4075.960737,4466.495907,4649.279895,4919.339771,5345.849207,5580.768129,6116.635163,6728.069318,7153.423327,7910.357935,7937.251572,7857.459158,7570.858771,7961.554635,8347.58179,8757.252515,9320.193799,9835.10896,11071.99502,11578.90715,11910.15493,11859.38615,12012.07516,12362.51144,13216.91481,14604.26115,15595.6365,17219.05807,17551.85504,16309.88601,16494.24304,16902.49232,16704.92438,16923.59092,16964.75226,17023.69436,17381.36509,17881.56325,18271.25225,19063.10229,16882.50152,17507.46799,20238.78424
Belgium,2773.481236,3085.10975,3835.929146,4907.873258,5747.637943,6726.770164,7276.188739,8464.645137,10331.47975,11851.97795,12903.92179,10639.29437,9342.545573,8836.215255,8441.503006,8730.883662,12138.18219,15090.20666,16364.76534,16525.94416,20616.33617,21078.0304,23440.61628,22373.65743,24321.19025,28531.31985,27579.70418,24885.07476,25373.87114,25248.97079,23012.12572,22944.35251,24833.93649,30508.81533,35247.44367,36660.85058,38542.77106,44144.31109,48033.58362,44560.78807,44213.45586,47705.16424,44980.05693,46981.05379,47838.53692,41086.16912,42038.21534,44162.25626,47455.52332,46554.24514,45517.82665,51737.76027,49986.83259
Belize,230.9067578,287.4725649,367.8422215,589.632882,775.9411082,884.0286039,682.9068814,860.2943833,962.8216299,1102.484128,1485.53913,1435.88182,1302.365454,1341.139638,1462.17339,1417.419072,1509.439626,1883.470266,2206.594705,2618.375027,2988.60482,3190.868365,3644.922821,3862.55203,3878.968982,4011.14003,4042.152483,4011.022237,4119.706172,4283.477068,4720.168218,4708.294938,4844.228574,4937.089906,5123.596214,5236.365425,5486.831434,5717.92962,5665.966232,5352.095988,5399.062096,5519.339008,5635.521526,5865.470901,6031.548403,6098.600079,6099.957102,6049.391948,6001.024262,6134.215233,5185.15807,6060.968224,6984.216959
Benin,106.5194493,110.6688736,133.3541833,159.7610628,167.7846636,199.4723496,207.4269,221.5982408,262.2682238,311.257082,387.187234,356.2730339,337.8177708,283.6750939,264.516246,255.5866896,317.0048027,359.9582643,362.1380792,325.8650738,388.2302845,381.6076186,418.3908134,405.3211087,274.3307363,387.7970325,444.7153298,448.6883649,509.359883,541.5036658,501.7486122,507.9030101,561.727267,696.8431267,782.7138319,805.5841622,836.3883517,943.3954469,1094.516531,1057.462259,1008.505461,1097.975503,1112.633252,1213.950476,1249.840095,1040.863784,1049.820303,1095.274133,1194.437603,1170.965879,1240.733104,1360.911474,1302.850067
Bhutan,206.6807776,214.7693775,219.6563178,239.0956436,272.4047231,246.3161377,242.8026936,259.9098291,241.6794669,261.9386109,309.6715817,337.6156793,344.1681769,374.5779777,356.9355704,355.4040845,408.221909,477.1904088,500.1823643,467.126279,489.9345712,410.6727607,429.9035122,424.0429724,497.9337437,548.0861478,568.6400957,651.5731452,646.8240063,703.7061812,747.8496506,789.7381399,867.536293,980.0753094,1081.148518,1201.433647,1299.631248,1714.031073,1780.112216,1768.746518,2194.112513,2491.27077,2470.067761,2409.430145,2589.893727,2746.377297,2988.978262,3427.173682,3389.777295,3564.617808,3181.340129,3560.197894,3704.344581
Bolivia (Plurinational State of),220.2722708,233.4073751,266.7351844,265.0519363,428.6051574,467.8052629,524.1112944,515.0932158,550.1070004,583.3302747,554.9840661,618.060353,587.5859626,549.8359745,537.8970254,533.0924151,536.3873516,568.3916874,675.7148311,678.6413185,685.9427177,737.5213725,763.2606757,760.1176217,777.4160933,856.3651138,925.8491189,973.9625701,1025.409432,981.7529229,977.3294709,930.8757308,888.1985764,892.3553805,951.9196366,1018.313661,1200.068092,1351.035155,1687.578567,1725.146286,1922.058662,2304.982296,2562.466784,2853.797161,3022.462884,2975.648811,3013.502708,3280.008213,3471.006951,3472.380831,3068.812555,3345.023002,3600.121635
Botswana,112.7868429,145.8477577,183.0405695,257.7931296,340.5486556,376.5349837,387.4658546,474.4063975,536.7506315,665.4427838,908.2073022,991.453433,834.2693989,873.3652369,882.3408754,735.5656587,949.1178595,1263.557288,1417.615217,2320.236992,2774.026284,2801.285477,2864.219578,2791.985055,2832.812881,3064.586353,3063.994873,3100.165355,2893.328745,3242.13716,3351.686115,3115.702637,3016.593863,4075.992637,4755.594273,5156.081083,5137.390643,5372.327146,5345.846395,4938.25201,6041.735702,7080.775585,6410.927622,6436.601866,6844.033074,5869.729556,6411.553469,6705.339802,6947.818053,6679.198025,5863.185478,7238.796096,7737.65468
